xa,ya,za,xr,yr,zr,label
-7.06,-0.39,6.41,-0.01,0.02,-0.01,0
-7.49,-0.38,6.59,0.01,0.08,0.02,0
-7.8,-0.32,6,-0.03,0.16,-0.01,0
-9.57,-0.14,3.05,-0.03,0.12,-0.06,0
-9.28,-0.28,2.77,0.02,0.17,-0.04,0
-9.51,-0.29,2.23,-0.02,0.3,-0.05,0
-9.2,-0.27,2.24,0,0,-0.03,0
-9.72,-0.37,2.32,-0.03,0.07,-0.06,0
-9.24,-0.36,2.31,0.02,-0.01,-0.03,0
-9.4,-0.3,2.36,0,-0.1,0.02,0
-8.65,-0.48,4.72,0.01,-0.06,-0.02,0
-8.47,-0.46,5.3,0.02,-0.06,0.02,0
-8.02,-0.52,5.79,-0.05,0.02,-0.08,0
-8.17,-0.53,5.8,0,0.07,-0.02,0
-8.86,-0.49,5.38,0.04,0.21,-0.05,0
-8.83,-0.61,4.24,0.02,0.14,-0.05,0
-8.72,-0.6,4.1,-0.02,-0.02,0,0
-6.98,-0.36,6.83,0,-0.53,-0.11,0
-6.68,-0.71,7.75,-0.04,-0.03,-0.01,0
-6,-0.63,8.16,0.01,-0.08,0,0
-4.1,-0.95,9.39,-0.03,-0.05,-0.02,0
-4.17,-1.23,9.36,-0.04,0.07,-0.04,0
-4.79,-1.21,9.06,0.07,0.08,-0.01,0
-6.48,-0.93,7.46,0,0.26,-0.06,0
-7.27,-0.96,6.96,0.02,0.24,-0.03,0
-7.69,-0.84,6.34,-0.01,0.05,-0.02,0
-8.09,-0.88,6,-0.02,0.18,-0.05,0
-8.13,-0.81,5.43,-0.04,0.11,0,0
-8.77,-0.73,4.6,-0.05,-0.08,-0.01,0
-8.82,-0.68,4.19,0.04,0.25,-0.06,0
-8.37,-0.82,5.66,-0.11,-0.76,-0.03,0
-7.26,-0.91,6.76,-0.01,-0.02,0,0
-7.13,-0.86,7.14,-0.04,-0.19,-0.04,0
-5.84,-0.85,7.77,0.03,-0.36,0.05,0
-5.49,-0.81,8.51,-0.01,-0.02,-0.02,0
-4.74,-0.93,8.97,-0.02,0,-0.01,0
-4.92,-0.99,8.96,0.05,0.02,-0.01,0
-4.18,-1.05,9.41,0.03,-0.36,0.06,0
-3.81,-0.68,9.35,0,0.13,-0.02,0
-6.15,-0.57,8.15,-0.03,0.28,-0.07,0
-7.43,-0.45,6.7,-0.01,0.09,-0.06,0
-8.17,-0.42,5.44,-0.03,0.13,-0.03,0
-8.81,-0.66,3.87,0.04,0.19,0.03,0
-9.56,-0.54,2.31,0,0.18,-0.09,0
-9.32,-0.43,2.35,-0.02,-0.03,-0.05,0
-8.81,-0.24,4.11,-0.01,-0.28,-0.01,0
-8.1,-0.11,5.59,0.01,-0.15,0.01,0
-7,-0.16,7.05,-0.06,-0.34,-0.03,0
-6,-0.63,8.16,0.01,-0.08,0,0
-4.1,-0.95,9.39,-0.03,-0.05,-0.02,0
-4.17,-1.23,9.36,-0.04,0.07,-0.04,0
