xa,ya,za,xr,yr,zr,label
1.36,1.47,10.10,1.51,0.95,-0.05,2
-0.05,7.93,6.31,-0.16,-0.19,0.01,2
0.06,8.12,5.86,0.05,0.04,-0.02,2
0.13,8.09,5.91,-0.07,0.02,-0.03,2
0.14,8.16,5.93,-0.05,0.04,-0.02,2
0.13,8.17,5.79,-0.07,0.04,-0.03,2
0.14,8.11,5.93,0.03,0.03,-0.03,2
0.14,8.51,5.26,0.03,0.02,-0.04,2
0.01,9.28,3.38,-0.02,1.51,0.16,2
0.17,9.63,2.95,0.10,0.50,0.04,2
0.17,9.70,1.62,0.06,0.03,0.01,2
0.08,9.73,1.35,0.03,0.04,-0.04,2
0.05,9.71,1.54,-0.18,0.00,-0.04,2
0.13,9.18,3.83,-0.30,0.00,-0.05,2
0.15,8.34,5.57,-0.10,-0.00,-0.08,2
0.11,7.79,6.39,-0.02,0.03,-0.02,2
0.10,7.55,6.58,-0.09,0.04,-0.03,2
0.09,6.89,7.35,-0.18,0.03,-0.03,2
0.10,6.15,8.05,-0.05,0.04,-0.02,2
0.06,5.62,8.44,-0.01,0.05,-0.02,2
0.07,4.95,9.00,-0.09,0.03,-0.03,2
0.05,4.47,9.20,-0.09,0.04,-0.01,2
0.03,3.78,9.51,-0.04,0.04,-0.02,2
0.06,3.26,9.69,-0.03,0.04,-0.02,2
0.07,3.00,9.87,-0.01,0.03,-0.03,2
0.04,4.42,9.37,0.41,0.02,-0.07,2
-0.03,6.98,7.25,0.18,0.06,0.04,2
0.08,7.83,6.33,0.14,0.04,-0.03,2
-0.03,8.58,5.17,0.15,0.04,-0.04,2
-0.12,9.16,3.76,0.14,-0.19,-0.06,2
0.05,9.28,3.42,0.10,0.10,-0.01,2
0.05,9.53,2.59,0.16,0.04,-0.03,2
0.08,9.75,1.09,0.19,0.04,-0.04,2
0.04,9.74,1.19,-0.04,0.04,-0.03,2
-0.08,9.36,3.21,-0.32,0.05,-0.03,2
-0.13,8.09,6.02,-0.10,0.03,-0.02,2
0.02,7.69,6.40,-0.18,0.03,-0.01,2
0.11,6.40,7.85,-0.14,0.03,-0.03,2
0.11,5.62,8.45,-0.09,0.02,-0.05,2
0.06,4.93,8.84,-0.12,0.07,-0.02,2
0.08,3.57,9.62,-0.30,0.05,0.01,2
0.06,2.01,10.08,-0.06,0.03,-0.04,2
0.90,-0.17,10.09,-0.05,0.30,-0.00,2
-0.15,7.52,6.34,0.27,0.63,-0.05,2
-0.09,8.24,5.71,0.27,0.11,0.01,2
0.17,9.16,3.78,-0.20,0.34,0.06,2
0.06,9.71,1.50,0.22,0.15,-0.01,2
-0.03,9.58,2.42,-0.22,-0.00,-0.04,2
-0.22,8.47,5.33,-0.33,-0.03,-0.07,2
-0.28,6.87,7.46,-0.14,0.03,-0.05,2
