xa,ya,za,xr,yr,zr,label
-1.95,-6.51,6.72,-0.12,-0.10,-0.06,3
-1.01,-7.13,7.62,-0.03,0.30,0.06,3
-1.63,-7.69,5.96,-0.21,0.14,0.03,3
-1.76,-8.37,5.05,-0.03,0.04,0.01,3
-1.82,-8.34,5.11,0.01,0.01,-0.03,3
-1.83,-8.38,4.86,-0.14,0.18,0.02,3
-2.33,-9.14,3.12,-0.16,0.08,-0.00,3
-2.10,-9.41,1.59,-0.08,0.04,-0.10,3
-1.92,-9.45,1.44,-0.02,0.04,-0.01,3
-1.99,-9.49,1.50,-0.02,0.09,0.00,3
-1.99,-9.22,2.27,0.08,-0.10,-0.12,3
-1.54,-8.94,3.61,0.14,0.05,-0.05,3
-1.44,-8.70,4.33,0.09,0.03,-0.01,3
-1.07,-7.98,5.87,0.18,0.02,-0.06,3
-1.02,-7.76,6.26,0.09,0.03,-0.04,3
-0.94,-7.32,6.87,0.11,-0.00,-0.05,3
-0.75,-6.51,7.59,0.20,0.03,-0.04,3
-0.64,-6.05,8.13,0.03,0.03,-0.05,3
-0.63,-6.14,8.08,-0.02,0.04,-0.02,3
-0.66,-6.42,7.71,0.03,0.03,-0.06,3
-0.68,-6.02,8.04,0.16,0.04,-0.09,3
-0.53,-4.86,9.01,-0.05,0.05,-0.00,3
-0.52,-4.25,9.45,0.06,0.04,-0.03,3
-0.62,-5.14,8.70,-0.23,0.03,-0.02,3
-0.37,-6.41,7.90,-0.27,0.04,-0.02,3
-0.31,-7.17,7.09,-0.12,0.01,-0.04,3
-0.11,-7.94,6.16,-0.11,0.04,-0.02,3
0.08,-8.60,5.17,-0.06,0.03,-0.03,3
-0.02,-8.99,4.41,-0.05,0.03,-0.05,3
-0.06,-9.11,4.14,-0.06,0.04,-0.04,3
-0.15,-9.16,3.83,-0.05,0.03,-0.02,3
-0.08,-9.33,3.17,-0.09,0.04,-0.03,3
0.19,-9.57,2.36,-0.16,0.03,-0.10,3
0.19,-9.57,2.60,0.06,0.03,-0.03,3
0.23,-9.12,3.71,0.19,0.03,-0.04,3
0.17,-8.89,4.48,0.05,0.01,0.03,3
0.15,-8.46,5.22,0.05,0.04,-0.02,3
0.12,-8.14,5.85,0.01,0.02,-0.05,3
0.27,-7.87,6.17,0.10,0.02,-0.05,3
0.10,-7.09,7.19,0.04,0.03,-0.05,3
0.10,-6.18,8.15,0.27,0.05,-0.04,3
0.10,-5.34,8.66,0.19,0.03,-0.08,3
0.00,-4.82,9.12,0.03,0.02,-0.04,3
-0.13,-4.01,9.40,-0.03,0.03,-0.03,3
-0.02,-5.06,8.83,-0.09,0.01,-0.08,3
0.25,-6.16,8.05,-0.08,0.01,-0.10,3
0.24,-7.16,7.08,-0.07,0.04,-0.02,3
0.15,-7.53,6.58,-0.12,0.02,-0.00,3
0.29,-8.13,5.95,-0.08,0.04,-0.03,3
0.49,-8.66,5.03,-0.14,-0.02,-0.03,3
