xa,ya,za,xr,yr,zr,label
-0.54,-0.17,9.84,-0.01,0.03,-0.03,4
-0.58,-0.17,10.30,-0.01,0.03,-0.03,4
-0.55,-0.17,10.30,0.00,0.02,-0.03,4
0.02,0.18,10.26,-0.10,0.02,-0.07,4
-0.40,-0.12,10.33,-0.01,-0.13,-0.04,4
-0.46,-0.07,10.51,0.03,0.39,0.00,4
-0.91,-0.04,10.26,-0.03,-0.20,-0.05,4
-0.77,-0.99,10.11,0.13,0.01,-0.01,4
-1.00,0.73,10.16,-0.08,0.02,-0.04,4
-2.00,-0.08,10.08,-0.04,-0.88,-0.06,4
0.35,-0.15,10.36,-0.01,0.02,-0.03,4
0.72,-0.15,10.17,0.01,0.29,-0.02,4
-1.89,-0.06,10.12,-0.01,0.20,-0.02,4
-0.02,-0.14,10.32,-0.02,-0.25,-0.03,4
-0.63,0.40,10.22,0.43,0.05,-0.01,4
-0.70,-0.14,10.29,-0.05,0.02,-0.06,4
-0.62,-0.12,10.87,0.21,0.22,-0.02,4
-0.65,-0.12,10.30,-0.03,-0.29,-0.05,4
-0.53,-0.06,10.52,0.00,0.27,-0.00,4
-0.56,-0.12,10.31,-0.03,0.04,-0.03,4
-0.74,-0.34,9.93,0.28,0.34,0.07,4
-0.60,-0.13,10.25,-0.01,-0.11,-0.03,4
-0.56,-0.09,10.48,0.11,0.04,-0.01,4
-0.47,-0.10,10.69,-0.33,-0.09,-0.09,4
-2.05,-0.10,10.00,-0.00,0.76,0.00,4
-2.61,-0.08,9.91,-0.01,0.04,-0.02,4
0.15,-0.13,10.18,-0.01,-0.55,0.04,4
1.20,-0.17,10.02,-0.01,-0.14,-0.02,4
0.98,-0.17,10.33,-0.01,0.07,-0.03,4
-0.55,0.41,10.36,-0.02,0.03,-0.03,4
-0.55,-0.12,10.30,-0.03,0.04,-0.02,4
-0.49,-0.76,10.21,-0.06,0.06,-0.03,4
-1.27,-0.10,10.21,-0.00,0.64,0.01,4
-2.09,-0.09,10.00,-0.02,-1.13,-0.12,4
1.18,-0.15,10.18,-0.01,0.01,-0.03,4
0.60,-0.16,10.29,-0.01,0.05,-0.03,4
-0.53,-0.08,10.55,0.02,0.28,-0.00,4
-0.57,0.34,10.32,0.01,0.04,-0.03,4
-2.20,-0.12,10.02,-0.01,0.27,-0.01,4
-0.51,-0.19,10.19,-0.03,0.09,0.01,4
-1.45,-0.79,10.05,-0.03,0.03,0.00,4
-0.54,-0.16,10.28,-0.02,0.03,-0.02,4
0.20,-0.04,10.18,-0.01,-0.07,-0.10,4
-0.57,-0.18,10.28,-0.01,0.03,-0.02,4
-0.57,-0.18,10.29,-0.01,0.04,-0.03,4
-0.57,-0.19,10.27,-0.01,0.04,-0.03,4
-0.57,-0.19,10.27,-0.01,0.04,-0.03,4
-0.57,-0.18,10.28,-0.01,0.04,-0.03,4
-0.58,-0.18,10.28,-0.01,0.04,-0.03,4
-0.57,-0.16,10.28,-0.01,0.03,-0.05,4
